rssdid,namefull
2078290,Columbia State Bank
165628,First Financial Bank
342634,Trustmark National Bank
2797724,Towne Bank
800657,"Bremer Bank, National Association"
1017939,United Community Bank
749242,Renasant Bank
915878,Third Federal Savings and Loan Association Of Cleveland
3076248,Stifel Bank and Trust
352772,Banner Bank
510871,Firstbank Puerto Rico
1002878,Northwest Bank
128904,Eastern Bank
637451,Plainscapital Bank
17147,First Merchants Bank
933966,Citizens Business Bank
437914,"Wilmington Savings Fund Society, FSB"
506922,Sandy Spring Bank
202907,"Community Bank, National Association"
473501,Berkshire Bank
2917317,Axos Bank
613008,Rockland Trust Company
131650,Great Western Bank
3202702,"Optum Bank, Inc."
2850722,Bmw Bank Of North America
85472,"Oceanfirst Bank, National Association"
5278251,Charles Schwab Trust Bank
95716,State Bank Of India
3348888,Servisfirst Bank
1391778,Comenity Bank
416245,Busey Bank
702117,"Nbt Bank, National Association"
2736291,Popular Bank
204004,Provident Bank
320119,Israel Discount Bank Of New York
470050,"First Financial Bank, National Association"
909000,Bank Of Baroda
3783313,Cross River Bank
245276,Oriental Bank
509950,First United Bank and Trust Company
961624,"Dollar Bank, Federal Savings Bank"
1001152,International Bank Of Commerce
2652092,Eaglebank
489623,The Park National Bank
968070,Capitol Federal Savings Bank
936426,S&t Bank
871769,Farmers and Merchants Bank Of Long Beach
42420,First Commonwealth Bank
918918,Safra National Bank Of New York
963945,Merchants Bank Of Indiana
964700,Boston Private Bank & Trust Company
3475083,Tristate Capital Bank
174572,Columbia Bank
652874,"Nexbank, SSB"
58971,Washington Trust Bank
435077,"Metabank, National Association"
1386251,Bancfirst
3221468,Veritex Community Bank
3224580,Comenity Capital Bank
2239288,"Wintrust Bank, National Association"
412751,Woodforest National Bank
1190476,Enterprise Bank & Trust
3650808,Live Oak Banking Company
929352,Bell Bank
83638,"Amerant Bank, National Association"
3284397,Beal Bank Usa
34537,Seacoast National Bank
54973,"American Savings Bank, FSB"
229913,Mizuho Bank (Usa)
200378,"Banc Of California, National Association"
3317932,Connectone Bank
687009,Lakeland Bank
2362458,"Wells Fargo Bank South Central, National Association"
991340,1st Source Bank
100562,Tri Counties Bank
557858,"Intrust Bank, National Association"
361167,Southside Bank
258771,Homestreet Bank
101019,Bank Leumi Usa
436159,Firstbank
497570,Luther Burbank Savings
959304,Flushing Bank
3637685,First Foundation Bank
790105,Bank Hapoalim B.M.
981275,Premier Bank
169653,First Bank
